9999942241008439	OTIMIZAÇÃO E VALIDAÇÃO DA EXTRAÇÃO SÓLIDO-LÍQUIDO E PURIFICAÇÃO EM BAIXA TEMPERATURA DE HPAs EM LODO DE ESGOTO	2014	10.5935/0100-4042.20140068	Química Nova (Online)	16787064	37			404/3	410	['biosolids;', 'SLE-PLT;', 'extraction methods']	BARBOSA, É. S.; EVANGELISTA, G. F.; PIMENTA, E. M.; SILVÉRIO, F. O.; PINHO, G. P.	5	
9999942241008439	Chemical characterization of Jatropha oil stored over a period of time and analysis of its pressed cake	2013		Revista Unimontes Científica	22365257	15		02	08	14	['Jatropha curcas', 'oil', 'cake', 'Chemical analysis']	RIBEIRO, R. A.; QUEIROZ, M. das G. M. N.; ALVES, V. L.; PRATA, E. R. B. A.; BARBOSA, É. S.	5	
9999942241008439	Determination of Chlorobenzenes in Sewage Sludge by Solid-Liquid Extraction with Purification at Low Temperature and Gas Chromatography Mass Spectrometry	2014	10.5935/0103-5053.20140109	Journal of the Brazilian Chemical Society (Impresso)	01035053	25			1292	1301	[]	PINHO, GEVANY P.; SILVÉRIO, FLAVIANO O.; EVANGELISTA, GABRIELA F.; MESQUITA, LAILA V.; BARBOSA, ÉRICA S.	5	
9999942241008439	Validation of a method for extraction of polycyclic aromatic hydrocarbons from sewage sludge and analysis by GC-MS	2017	10.1080/03067319.2018.1424331	INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY	03067319	97		14-15	1393	1404	[]	SANTOS, NATANNY ALMEIDA; CACIQUE, ANE PATRÍCIA; BARBOSA, ÉRICA SOARES; SILVÉRIO, FLAVIANO OLIVEIRA; PINHO, GEVANY PAULINO DE	5	
9999942241008439	Quantification of Glyphosate and AMPA by HPLC-ICP-MS/MS and HPLC-DAD: A Comparative Study	2019	10.21577/0103-5053.20190175	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY	01035053	00			1	7	[]	PIMENTA, EMANUELLA; DA SILVA, FABIO; BARBOSA, ÉRICA; CACIQUE, ANE; CASSIMIRO, DOUGLAS; DE PINHO, GEVANY; SILVÉRIO, FLAVIANO	7	
9999942241008439	<i>Catharanthus roseus</i> potential for phyto-stabilizing metals in sewage sludge	2019	10.1080/10934529.2019.1680059	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING	10934529	55		3	1	7	[]	BARBOSA, ÉRICA S.; CACIQUE, ANE P.; DE PINHO, GEVANY P.; SILVÉRIO, FLAVIANO O.	4	
ID-Lattes	Título	Ano	DOI	Veículo	ISSN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	Autores	Quantidade-autores	
9999942241008439	Efeitos do tempo de armazenamento sobre as propriedades físico-químicas de óleo de Jatropha curcas (pinhão manso).	2010		Revista brasileira de oleaginosas e fibrosas (Online)	19804830	14			1	7	['oleaginosa', 'caracterização', 'viscosidade']	RIBEIRO, R. A.; QUEIROZ, M. das G. M. N.; ALVES, V. L.; PRATA, E. R. B. A.; BARBOSA, É. S.; SANTOS, E. de M.; MOTA, B. S. N.	7	
9999942241008439	OTIMIZAÇÃO E VALIDAÇÃO DA EXTRAÇÃO SÓLIDO-LÍQUIDO E PURIFICAÇÃO EM BAIXA TEMPERATURA DE HPAs EM LODO DE ESGOTO	2014	10.5935/0100-4042.20140068	Química Nova (Online)	16787064	37			404/3	410	['biosolids;', 'SLE-PLT;', 'extraction methods']	BARBOSA, É. S.; EVANGELISTA, G. F.; PIMENTA, E. M.; SILVÉRIO, F. O.; PINHO, G. P.	5	
9999942241008439	Chemical characterization of Jatropha oil stored over a period of time and analysis of its pressed cake	2013		Revista Unimontes Científica	22365257	15		02	08	14	['Jatropha curcas', 'oil', 'cake', 'Chemical analysis']	RIBEIRO, R. A.; QUEIROZ, M. das G. M. N.; ALVES, V. L.; PRATA, E. R. B. A.; BARBOSA, É. S.	5	
9999942241008439	Determination of Chlorobenzenes in Sewage Sludge by Solid-Liquid Extraction with Purification at Low Temperature and Gas Chromatography Mass Spectrometry	2014	10.5935/0103-5053.20140109	Journal of the Brazilian Chemical Society (Impresso)	01035053	25			1292	1301	[]	PINHO, GEVANY P.; SILVÉRIO, FLAVIANO O.; EVANGELISTA, GABRIELA F.; MESQUITA, LAILA V.; BARBOSA, ÉRICA S.	5	
9999942241008439	Validation of a method for extraction of polycyclic aromatic hydrocarbons from sewage sludge and analysis by GC-MS	2017	10.1080/03067319.2018.1424331	INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY	03067319	97		14-15	1393	1404	[]	SANTOS, NATANNY ALMEIDA; CACIQUE, ANE PATRÍCIA; BARBOSA, ÉRICA SOARES; SILVÉRIO, FLAVIANO OLIVEIRA; PINHO, GEVANY PAULINO DE	5	
9999942241008439	Quantification of Glyphosate and AMPA by HPLC-ICP-MS/MS and HPLC-DAD: A Comparative Study	2019	10.21577/0103-5053.20190175	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY	01035053	00			1	7	[]	PIMENTA, EMANUELLA; DA SILVA, FABIO; BARBOSA, ÉRICA; CACIQUE, ANE; CASSIMIRO, DOUGLAS; DE PINHO, GEVANY; SILVÉRIO, FLAVIANO	7	
9999942241008439	<i>Catharanthus roseus</i> potential for phyto-stabilizing metals in sewage sludge	2019	10.1080/10934529.2019.1680059	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING	10934529	55		3	1	7	[]	BARBOSA, ÉRICA S.; CACIQUE, ANE P.; DE PINHO, GEVANY P.; SILVÉRIO, FLAVIANO O.	4	
ID-Lattes	Título	Ano	DOI	Veículo	ISSN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	Autores	Quantidade-autores	
9999942241008439	Efeitos do tempo de armazenamento sobre as propriedades físico-químicas de óleo de Jatropha curcas (pinhão manso).	2010		Revista brasileira de oleaginosas e fibrosas (Online)	19804830	14			1	7	['oleaginosa', 'caracterização', 'viscosidade']	RIBEIRO, R. A.; QUEIROZ, M. das G. M. N.; ALVES, V. L.; PRATA, E. R. B. A.; BARBOSA, É. S.; SANTOS, E. de M.; MOTA, B. S. N.	7	
9999942241008439	OTIMIZAÇÃO E VALIDAÇÃO DA EXTRAÇÃO SÓLIDO-LÍQUIDO E PURIFICAÇÃO EM BAIXA TEMPERATURA DE HPAs EM LODO DE ESGOTO	2014	10.5935/0100-4042.20140068	Química Nova (Online)	16787064	37			404/3	410	['biosolids;', 'SLE-PLT;', 'extraction methods']	BARBOSA, É. S.; EVANGELISTA, G. F.; PIMENTA, E. M.; SILVÉRIO, F. O.; PINHO, G. P.	5	
9999942241008439	Chemical characterization of Jatropha oil stored over a period of time and analysis of its pressed cake	2013		Revista Unimontes Científica	22365257	15		02	08	14	['Jatropha curcas', 'oil', 'cake', 'Chemical analysis']	RIBEIRO, R. A.; QUEIROZ, M. das G. M. N.; ALVES, V. L.; PRATA, E. R. B. A.; BARBOSA, É. S.	5	
9999942241008439	Determination of Chlorobenzenes in Sewage Sludge by Solid-Liquid Extraction with Purification at Low Temperature and Gas Chromatography Mass Spectrometry	2014	10.5935/0103-5053.20140109	Journal of the Brazilian Chemical Society (Impresso)	01035053	25			1292	1301	[]	PINHO, GEVANY P.; SILVÉRIO, FLAVIANO O.; EVANGELISTA, GABRIELA F.; MESQUITA, LAILA V.; BARBOSA, ÉRICA S.	5	
9999942241008439	Validation of a method for extraction of polycyclic aromatic hydrocarbons from sewage sludge and analysis by GC-MS	2017	10.1080/03067319.2018.1424331	INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY	03067319	97		14-15	1393	1404	[]	SANTOS, NATANNY ALMEIDA; CACIQUE, ANE PATRÍCIA; BARBOSA, ÉRICA SOARES; SILVÉRIO, FLAVIANO OLIVEIRA; PINHO, GEVANY PAULINO DE	5	
9999942241008439	Quantification of Glyphosate and AMPA by HPLC-ICP-MS/MS and HPLC-DAD: A Comparative Study	2019	10.21577/0103-5053.20190175	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY	01035053	00			1	7	[]	PIMENTA, EMANUELLA; DA SILVA, FABIO; BARBOSA, ÉRICA; CACIQUE, ANE; CASSIMIRO, DOUGLAS; DE PINHO, GEVANY; SILVÉRIO, FLAVIANO	7	
9999942241008439	<i>Catharanthus roseus</i> potential for phyto-stabilizing metals in sewage sludge	2019	10.1080/10934529.2019.1680059	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING	10934529	55		3	1	7	[]	BARBOSA, ÉRICA S.; CACIQUE, ANE P.; DE PINHO, GEVANY P.; SILVÉRIO, FLAVIANO O.	4	
ID-Lattes	Título	Ano	DOI	Veículo	ISSN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	Autores	Quantidade-autores	
9999942241008439	Efeitos do tempo de armazenamento sobre as propriedades físico-químicas de óleo de Jatropha curcas (pinhão manso).	2010		Revista brasileira de oleaginosas e fibrosas (Online)	19804830	14			1	7	['oleaginosa', 'caracterização', 'viscosidade']	RIBEIRO, R. A.; QUEIROZ, M. das G. M. N.; ALVES, V. L.; PRATA, E. R. B. A.; BARBOSA, É. S.; SANTOS, E. de M.; MOTA, B. S. N.	7	
9999942241008439	OTIMIZAÇÃO E VALIDAÇÃO DA EXTRAÇÃO SÓLIDO-LÍQUIDO E PURIFICAÇÃO EM BAIXA TEMPERATURA DE HPAs EM LODO DE ESGOTO	2014	10.5935/0100-4042.20140068	Química Nova (Online)	16787064	37			404/3	410	['biosolids;', 'SLE-PLT;', 'extraction methods']	BARBOSA, É. S.; EVANGELISTA, G. F.; PIMENTA, E. M.; SILVÉRIO, F. O.; PINHO, G. P.	5	
9999942241008439	Chemical characterization of Jatropha oil stored over a period of time and analysis of its pressed cake	2013		Revista Unimontes Científica	22365257	15		02	08	14	['Jatropha curcas', 'oil', 'cake', 'Chemical analysis']	RIBEIRO, R. A.; QUEIROZ, M. das G. M. N.; ALVES, V. L.; PRATA, E. R. B. A.; BARBOSA, É. S.	5	
9999942241008439	Determination of Chlorobenzenes in Sewage Sludge by Solid-Liquid Extraction with Purification at Low Temperature and Gas Chromatography Mass Spectrometry	2014	10.5935/0103-5053.20140109	Journal of the Brazilian Chemical Society (Impresso)	01035053	25			1292	1301	[]	PINHO, GEVANY P.; SILVÉRIO, FLAVIANO O.; EVANGELISTA, GABRIELA F.; MESQUITA, LAILA V.; BARBOSA, ÉRICA S.	5	
9999942241008439	Validation of a method for extraction of polycyclic aromatic hydrocarbons from sewage sludge and analysis by GC-MS	2017	10.1080/03067319.2018.1424331	INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY	03067319	97		14-15	1393	1404	[]	SANTOS, NATANNY ALMEIDA; CACIQUE, ANE PATRÍCIA; BARBOSA, ÉRICA SOARES; SILVÉRIO, FLAVIANO OLIVEIRA; PINHO, GEVANY PAULINO DE	5	
9999942241008439	Quantification of Glyphosate and AMPA by HPLC-ICP-MS/MS and HPLC-DAD: A Comparative Study	2019	10.21577/0103-5053.20190175	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY	01035053	00			1	7	[]	PIMENTA, EMANUELLA; DA SILVA, FABIO; BARBOSA, ÉRICA; CACIQUE, ANE; CASSIMIRO, DOUGLAS; DE PINHO, GEVANY; SILVÉRIO, FLAVIANO	7	
9999942241008439	<i>Catharanthus roseus</i> potential for phyto-stabilizing metals in sewage sludge	2019	10.1080/10934529.2019.1680059	JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING	10934529	55		3	1	7	[]	BARBOSA, ÉRICA S.; CACIQUE, ANE P.; DE PINHO, GEVANY P.; SILVÉRIO, FLAVIANO O.	4	
